<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20201210;110000;276.7800000
SBER;60;20201210;120000;278.5300000
SBER;60;20201210;130000;278.7500000
SBER;60;20201210;140000;278.6200000
SBER;60;20201210;150000;279.1400000
SBER;60;20201210;160000;279.1900000
SBER;60;20201210;170000;278.4000000
SBER;60;20201210;180000;280.1300000
SBER;60;20201210;190000;281.8100000
SBER;60;20201210;200000;280.9000000
SBER;60;20201210;210000;280.7900000
SBER;60;20201210;220000;281.7600000
SBER;60;20201210;230000;281.2900000
SBER;60;20201211;000000;282.2000000
SBER;60;20201211;110000;283.3700000
SBER;60;20201211;120000;281.9000000
SBER;60;20201211;130000;280.3700000
SBER;60;20201211;140000;282.2300000
SBER;60;20201211;150000;282.2900000
SBER;60;20201211;160000;282.1800000
SBER;60;20201211;170000;283.4100000
SBER;60;20201211;180000;282.7500000
SBER;60;20201211;190000;283.6700000
SBER;60;20201211;200000;283.2700000
SBER;60;20201211;210000;283.3000000
SBER;60;20201211;220000;283.6300000
SBER;60;20201211;230000;283.8000000
SBER;60;20201212;000000;283.7300000
SBER;60;20201214;110000;286.2600000
SBER;60;20201214;120000;286.1000000
SBER;60;20201214;130000;284.5000000
SBER;60;20201214;140000;285.2300000
SBER;60;20201214;150000;286.6400000
SBER;60;20201214;160000;285.8500000
SBER;60;20201214;170000;284.6800000
SBER;60;20201214;180000;279.8900000
SBER;60;20201214;190000;279.0400000
SBER;60;20201214;200000;279.0100000
SBER;60;20201214;210000;279.7400000
SBER;60;20201214;220000;280.0100000
SBER;60;20201214;230000;280.0900000
SBER;60;20201215;000000;279.9500000
SBER;60;20201215;110000;278.5000000
SBER;60;20201215;120000;282.2500000
SBER;60;20201215;130000;282.6500000
SBER;60;20201215;140000;281.8900000
SBER;60;20201215;150000;280.9800000
SBER;60;20201215;160000;279.8600000
SBER;60;20201215;170000;278.9400000
SBER;60;20201215;180000;276.5100000
SBER;60;20201215;190000;276.4700000
SBER;60;20201215;200000;276.9200000
SBER;60;20201215;210000;277.2400000
SBER;60;20201215;220000;277.5000000
SBER;60;20201215;230000;278.3200000
SBER;60;20201216;000000;278.7000000
SBER;60;20201216;110000;278.1000000
SBER;60;20201216;120000;277.5400000
SBER;60;20201216;130000;278.9700000
SBER;60;20201216;140000;278.7700000
SBER;60;20201216;150000;277.7400000
SBER;60;20201216;160000;278.0500000
SBER;60;20201216;170000;277.7800000
SBER;60;20201216;180000;277.4000000
SBER;60;20201216;190000;278.3500000
SBER;60;20201216;200000;278.2800000
SBER;60;20201216;210000;278.3500000
SBER;60;20201216;220000;278.0300000
SBER;60;20201216;230000;278.0800000
SBER;60;20201217;000000;278.3500000
SBER;60;20201217;110000;284.8400000
SBER;60;20201217;120000;283.0300000
SBER;60;20201217;130000;281.0400000
SBER;60;20201217;140000;280.5600000
SBER;60;20201217;150000;280.2000000
SBER;60;20201217;160000;281.4200000
SBER;60;20201217;170000;278.2600000
SBER;60;20201217;180000;277.0600000
SBER;60;20201217;190000;278.1600000
SBER;60;20201217;200000;278.3000000
SBER;60;20201217;210000;278.2500000
SBER;60;20201217;220000;278.3800000
SBER;60;20201217;230000;278.7900000
SBER;60;20201218;000000;278.5000000
SBER;60;20201218;110000;273.7300000
SBER;60;20201218;120000;272.8500000
SBER;60;20201218;130000;273.0700000
SBER;60;20201218;140000;271.5900000
SBER;60;20201218;150000;272.4100000
SBER;60;20201218;160000;271.1200000
SBER;60;20201218;170000;270.4400000
SBER;60;20201218;180000;270.1000000
SBER;60;20201218;190000;271.1500000
SBER;60;20201218;200000;269.6700000
SBER;60;20201218;210000;270.4000000
SBER;60;20201218;220000;270.9300000
SBER;60;20201218;230000;270.5800000
SBER;60;20201219;000000;270.1600000
SBER;60;20201221;110000;265.3000000
SBER;60;20201221;120000;265.2300000
SBER;60;20201221;130000;262.1100000
SBER;60;20201221;140000;262.2800000
SBER;60;20201221;150000;262.2700000
SBER;60;20201221;160000;261.5500000
SBER;60;20201221;170000;261.5100000
SBER;60;20201221;180000;260.2300000
SBER;60;20201221;190000;259.8900000
SBER;60;20201221;200000;260.4900000
SBER;60;20201221;210000;261.4400000
SBER;60;20201221;220000;262.9100000
SBER;60;20201221;230000;262.3000000
SBER;60;20201222;000000;261.7900000
SBER;60;20201222;110000;262.0000000
SBER;60;20201222;120000;265.8800000
SBER;60;20201222;130000;263.9100000
SBER;60;20201222;140000;263.4600000
SBER;60;20201222;150000;263.6900000
SBER;60;20201222;160000;263.6500000
SBER;60;20201222;170000;266.0900000
SBER;60;20201222;180000;265.1400000
SBER;60;20201222;190000;262.9200000
SBER;60;20201222;200000;261.4400000
SBER;60;20201222;210000;262.3500000
SBER;60;20201222;220000;262.7600000
SBER;60;20201222;230000;262.4000000
SBER;60;20201223;000000;262.0400000
SBER;60;20201223;110000;263.3500000
SBER;60;20201223;120000;262.6000000
SBER;60;20201223;130000;263.5900000
SBER;60;20201223;140000;263.7500000
SBER;60;20201223;150000;263.2500000
SBER;60;20201223;160000;263.5700000
SBER;60;20201223;170000;265.1700000
SBER;60;20201223;180000;268.5000000
SBER;60;20201223;190000;268.8300000
SBER;60;20201223;200000;269.4900000
SBER;60;20201223;210000;270.1500000
SBER;60;20201223;220000;270.0600000
SBER;60;20201223;230000;268.9700000
SBER;60;20201224;000000;270.1000000
SBER;60;20201224;110000;271.7700000
SBER;60;20201224;120000;269.5100000
SBER;60;20201224;130000;269.7200000
SBER;60;20201224;140000;267.7500000
SBER;60;20201224;150000;269.4300000
SBER;60;20201224;160000;268.5400000
SBER;60;20201224;170000;269.0800000
SBER;60;20201224;180000;269.4500000
SBER;60;20201224;190000;269.1200000
SBER;60;20201224;200000;268.8200000
SBER;60;20201224;210000;269.5300000
SBER;60;20201224;220000;269.5200000
SBER;60;20201224;230000;269.9800000
SBER;60;20201225;000000;269.3200000
SBER;60;20201225;110000;269.5500000
SBER;60;20201225;120000;269.2600000
SBER;60;20201225;130000;269.2700000
SBER;60;20201225;140000;269.5600000
SBER;60;20201225;150000;269.4200000
SBER;60;20201225;160000;269.3100000
SBER;60;20201225;170000;269.8000000
SBER;60;20201225;180000;270.8000000
SBER;60;20201225;190000;270.7000000
SBER;60;20201225;200000;270.4500000
SBER;60;20201225;210000;270.6900000
SBER;60;20201225;220000;270.5000000
